Timestamp	AWP (125 Hz)
225.264	0.080000
225.272	0.080000
225.28	0.080000
225.288	0.080000
225.296	0.080000
225.304	0.070000
225.312	0.070000
225.32	0.070000
225.328	0.070000
225.336	0.070000
225.344	0.070000
225.352	0.080000
225.36	0.070000
225.368	0.070000
225.376	0.060000
225.384	0.060000
225.392	0.060000
225.4	0.060000
225.408	0.050000
225.416	0.060000
225.424	0.060000
225.432	0.060000
225.44	0.050000
225.448	0.050000
225.456	0.050000
225.464	0.060000
225.472	0.060000
225.48	0.050000
225.488	0.050000
225.496	0.030000
225.504	0.030000
225.512	0.030000
225.52	0.030000
225.528	0.030000
225.536	0.030000
225.544	0.030000
225.552	0.030000
225.56	0.030000
225.568	0.020000
225.576	0.020000
225.584	0.020000
225.592	0.030000
225.6	0.040000
225.608	0.040000
225.616	0.040000
225.624	0.040000
225.632	0.040000
225.64	0.030000
225.648	0.030000
225.656	0.040000
225.664	0.050000
225.672	0.050000
225.68	0.050000
225.688	0.050000
225.696	0.040000
225.704	0.040000
225.712	0.040000
225.72	0.030000
225.728	0.030000
225.736	0.030000
225.744	0.030000
225.752	0.020000
225.76	0.020000
225.768	0.020000
225.776	0.010000
225.784	0.010000
225.792	0.010000
225.8	0.010000
225.808	0.010000
225.816	0.010000
225.824	0.010000
225.832	0.020000
225.84	0.020000
225.848	0.030000
225.856	0.040000
225.864	0.040000
225.872	0.030000
225.88	0.020000
225.888	0.020000
225.896	0.020000
225.904	0.020000
225.912	0.020000
225.92	0.020000
225.928	0.020000
225.936	0.020000
225.944	0.010000
225.952	0.010000
225.96	0.020000
225.968	0.020000
225.976	0.010000
225.984	0.010000
225.992	0.000000
226	0.000000
226.008	0.010000
226.016	0.010000
226.024	0.010000
226.032	0.010000
226.04	0.010000
226.048	0.010000
226.056	0.010000
226.064	0.010000
226.072	0.010000
226.08	0.010000
226.088	0.010000
226.096	0.010000
226.104	0.010000
226.112	0.000000
226.12	0.000000
226.128	0.000000
226.136	0.000000
226.144	0.000000
226.152	0.010000
226.16	0.010000
226.168	0.010000
226.176	0.000000
226.184	0.000000
226.192	0.000000
226.2	0.000000
226.208	0.010000
226.216	0.020000
226.224	0.020000
226.232	0.010000
226.24	0.010000
226.248	0.000000
226.256	0.000000
226.264	0.010000
226.272	0.010000
226.28	0.010000
226.288	0.000000
226.296	0.000000
226.304	-0.010000
226.312	-0.010000
226.32	0.000000
226.328	0.000000
226.336	0.000000
226.344	0.000000
226.352	0.010000
226.36	0.010000
226.368	0.010000
226.376	0.000000
226.384	0.000000
226.392	0.000000
226.4	0.000000
226.408	0.000000
226.416	0.000000
226.424	0.000000
226.432	0.010000
226.44	0.020000
226.448	0.020000
226.456	0.020000
226.464	0.020000
226.472	0.020000
226.48	0.020000
226.488	0.020000
226.496	0.010000
226.504	0.010000
226.512	0.000000
226.52	0.000000
226.528	0.000000
226.536	0.000000
226.544	0.000000
226.552	0.000000
226.56	0.000000
226.568	-0.010000
226.576	-0.010000
226.584	0.000000
226.592	0.000000
226.6	0.000000
226.608	0.000000
226.616	0.000000
226.624	-0.010000
226.632	-0.010000
226.64	0.000000
226.648	0.000000
226.656	0.000000
226.664	0.000000
226.672	0.000000
226.68	0.000000
226.688	0.000000
226.696	0.000000
226.704	0.010000
226.712	0.010000
226.72	0.000000
226.728	0.000000
226.736	0.000000
226.744	-0.010000
226.752	0.000000
226.76	0.000000
226.768	0.000000
226.776	0.000000
226.784	-0.020000
226.792	-0.030000
226.8	-0.030000
226.808	-0.020000
226.816	-0.010000
226.824	0.000000
226.832	0.000000
226.84	0.000000
226.848	0.000000
226.856	0.000000
226.864	0.000000
226.872	0.000000
226.88	0.000000
226.888	0.000000
226.896	-0.010000
226.904	-0.020000
226.912	-0.030000
226.92	-0.030000
226.928	-0.030000
226.936	-0.030000
226.944	-0.030000
226.952	-0.040000
226.96	-0.040000
226.968	-0.030000
226.976	-0.030000
226.984	-0.040000
226.992	-0.040000
227	-0.050000
227.008	-0.050000
227.016	-0.050000
227.024	-0.050000
227.032	-0.040000
227.04	-0.040000
227.048	-0.050000
227.056	-0.060000
227.064	-0.070000
227.072	-0.070000
227.08	-0.080000
227.088	-0.080000
227.096	-0.080000
227.104	-0.080000
227.112	-0.070000
227.12	-0.060000
227.128	-0.060000
227.136	-0.070000
227.144	-0.070000
227.152	-0.070000
227.16	-0.060000
227.168	-0.060000
227.176	-0.060000
227.184	-0.060000
227.192	-0.060000
227.2	-0.060000
227.208	-0.050000
227.216	-0.050000
227.224	-0.060000
227.232	-0.060000
227.24	-0.070000
227.248	-0.070000
227.256	-0.070000
227.264	-0.070000
227.272	-0.070000
227.28	-0.080000
227.288	-0.090000
227.296	-0.100000
227.304	-0.110000
227.312	-0.110000
227.32	-0.110000
227.328	-0.100000
227.336	-0.100000
227.344	-0.100000
227.352	-0.110000
227.36	-0.120000
227.368	-0.120000
227.376	-0.130000
227.384	-0.130000
227.392	-0.130000
227.4	-0.130000
227.408	-0.130000
227.416	-0.130000
227.424	-0.130000
227.432	-0.120000
227.44	-0.120000
227.448	-0.120000
227.456	-0.110000
227.464	-0.110000
227.472	-0.110000
227.48	-0.110000
227.488	-0.120000
227.496	-0.110000
227.504	-0.100000
227.512	-0.100000
227.52	-0.100000
227.528	-0.100000
227.536	-0.100000
227.544	-0.100000
227.552	-0.100000
227.56	-0.100000
227.568	-0.110000
227.576	-0.110000
227.584	-0.110000
227.592	-0.100000
227.6	-0.100000
227.608	-0.100000
227.616	-0.100000
227.624	-0.100000
227.632	-0.110000
227.64	-0.090000
227.648	-0.090000
227.656	-0.090000
227.664	-0.100000
227.672	-0.100000
227.68	-0.100000
227.688	-0.090000
227.696	-0.080000
227.704	-0.090000
227.712	-0.090000
227.72	-0.090000
227.728	-0.090000
227.736	-0.090000
227.744	-0.090000
227.752	-0.100000
227.76	-0.110000
227.768	-0.120000
227.776	-0.120000
227.784	-0.110000
227.792	-0.100000
227.8	-0.110000
227.808	-0.120000
227.816	-0.130000
227.824	-0.130000
227.832	-0.140000
227.84	-0.140000
227.848	-0.140000
227.856	-0.140000
227.864	-0.130000
227.872	-0.120000
227.88	-0.120000
227.888	-0.110000
227.896	-0.110000
227.904	-0.110000
227.912	-0.120000
227.92	-0.130000
227.928	-0.140000
227.936	-0.130000
227.944	-0.120000
227.952	-0.110000
227.96	-0.110000
227.968	-0.110000
227.976	-0.120000
227.984	-0.130000
227.992	-0.120000
228	-0.110000
228.008	-0.110000
228.016	-0.110000
228.024	-0.110000
228.032	-0.110000
228.04	-0.110000
228.048	-0.100000
228.056	-0.110000
228.064	-0.110000
228.072	-0.120000
228.08	-0.130000
228.088	-0.130000
228.096	-0.130000
228.104	-0.130000
228.112	-0.120000
228.12	-0.120000
228.128	-0.130000
228.136	-0.130000
228.144	-0.140000
228.152	-0.130000
228.16	-0.130000
228.168	-0.140000
228.176	-0.140000
228.184	-0.150000
228.192	-0.150000
228.2	-0.160000
228.208	-0.160000
228.216	-0.150000
228.224	-0.140000
228.232	-0.140000
228.24	-0.140000
228.248	-0.140000
228.256	-0.140000
228.264	-0.140000
228.272	-0.140000
228.28	-0.150000
228.288	-0.150000
228.296	-0.150000
228.304	-0.150000
228.312	-0.150000
228.32	-0.140000
228.328	-0.140000
228.336	-0.140000
228.344	-0.130000
228.352	-0.110000
228.36	-0.110000
228.368	-0.110000
228.376	-0.120000
228.384	-0.130000
228.392	-0.130000
228.4	-0.130000
228.408	-0.110000
228.416	-0.100000
228.424	-0.090000
228.432	-0.080000
228.44	-0.080000
228.448	-0.080000
228.456	-0.080000
228.464	-0.070000
228.472	-0.060000
228.48	-0.030000
228.488	-0.020000
228.496	-0.010000
228.504	-0.010000
228.512	-0.020000
228.52	-0.010000
228.528	0.000000
228.536	0.000000
228.544	0.010000
228.552	0.020000
228.56	0.030000
228.568	0.050000
228.576	0.060000
228.584	0.070000
228.592	0.080000
228.6	0.080000
228.608	0.090000
228.616	0.100000
228.624	0.120000
228.632	0.120000
228.64	0.110000
228.648	0.120000
228.656	0.140000
228.664	0.150000
228.672	0.160000
228.68	0.160000
228.688	0.160000
228.696	0.170000
228.704	0.190000
228.712	0.210000
228.72	0.210000
228.728	0.220000
228.736	0.220000
228.744	0.220000
228.752	0.220000
228.76	0.210000
228.768	0.190000
228.776	0.180000
228.784	0.190000
228.792	0.210000
228.8	0.230000
228.808	0.240000
228.816	0.230000
228.824	0.220000
228.832	0.210000
228.84	0.210000
228.848	0.200000
228.856	0.190000
228.864	0.190000
228.872	0.200000
228.88	0.220000
228.888	0.250000
228.896	0.260000
228.904	0.270000
228.912	0.270000
228.92	0.260000
228.928	0.240000
228.936	0.220000
228.944	0.200000
228.952	0.210000
228.96	0.230000
228.968	0.240000
228.976	0.250000
228.984	0.240000
228.992	0.230000
229	0.240000
229.008	0.250000
229.016	0.260000
229.024	0.250000
229.032	0.230000
229.04	0.220000
229.048	0.210000
229.056	0.200000
229.064	0.190000
229.072	0.180000
229.08	0.180000
