Timestamp	Resp (62.5 Hz)
231.248	0.127316
231.264	0.161552
231.28	0.193252
231.296	0.222416
231.312	0.252531
231.328	0.283280
231.344	0.311810
231.36	0.337487
231.376	0.358092
231.392	0.374576
231.408	0.386939
231.424	0.395815
231.44	0.401204
231.456	0.403740
231.472	0.404374
231.488	0.403423
231.504	0.402155
231.52	0.400887
231.536	0.400570
231.552	0.401204
231.568	0.402472
231.584	0.404374
231.6	0.406276
231.616	0.408812
231.632	0.411348
231.648	0.414201
231.664	0.416103
231.68	0.417371
231.696	0.418956
231.712	0.420858
231.728	0.423077
231.744	0.425613
231.76	0.428149
231.776	0.431636
231.792	0.436708
231.808	0.443999
231.824	0.452558
231.84	0.462068
231.856	0.471578
231.872	0.481088
231.888	0.491232
231.904	0.501693
231.92	0.510886
231.936	0.519128
231.952	0.529272
231.968	0.541318
231.984	0.555900
232	0.572384
232.016	0.586966
232.032	0.600597
232.048	0.615813
232.064	0.632297
232.08	0.647196
232.096	0.660827
232.112	0.675092
232.128	0.689674
232.144	0.701720
232.16	0.711230
232.176	0.718204
232.192	0.722642
232.208	0.722959
232.224	0.720423
232.24	0.716302
232.256	0.711230
232.272	0.703622
232.288	0.693795
232.304	0.683017
232.32	0.671605
232.336	0.661144
232.352	0.651317
232.368	0.642124
232.384	0.633248
232.4	0.625006
232.416	0.616764
232.432	0.607571
232.448	0.597427
232.464	0.587917
232.48	0.579041
232.496	0.570799
232.512	0.562874
232.528	0.556217
232.544	0.550511
232.56	0.545756
232.576	0.541635
232.592	0.537831
232.608	0.534661
232.624	0.531491
232.64	0.528638
232.656	0.526102
232.672	0.523249
232.688	0.518494
232.704	0.512154
232.72	0.505497
232.736	0.498840
232.752	0.492183
232.768	0.485526
232.784	0.480137
232.8	0.475382
232.816	0.471578
232.832	0.468408
232.848	0.467774
232.864	0.468725
232.88	0.470627
232.896	0.472529
232.912	0.475065
232.928	0.477601
232.944	0.480137
232.96	0.482673
232.976	0.483307
232.992	0.481722
233.008	0.475699
233.024	0.466189
233.04	0.455728
233.056	0.444316
233.072	0.430051
233.088	0.412299
233.104	0.392645
233.12	0.371723
233.136	0.352703
233.152	0.334951
233.168	0.316882
233.184	0.298179
233.2	0.282329
233.216	0.268698
233.232	0.255701
233.248	0.243021
233.264	0.229390
233.28	0.215442
233.296	0.201811
233.312	0.188497
233.328	0.173598
233.344	0.157114
233.36	0.141898
233.376	0.127633
233.392	0.113051
233.408	0.098469
233.424	0.084838
233.44	0.072158
233.456	0.062014
233.472	0.054089
233.488	0.047115
233.504	0.040458
233.52	0.034435
233.536	0.028729
233.552	0.022072
233.568	0.015098
233.584	0.007490
233.6	0.000199
233.616	-0.005507
233.632	-0.009628
233.648	-0.013432
233.664	-0.016919
233.68	-0.019138
233.696	-0.020723
233.712	-0.021357
233.728	-0.021357
233.744	-0.020089
233.76	-0.017870
233.776	-0.015968
233.792	-0.014066
233.808	-0.012164
233.824	-0.010579
233.84	-0.010262
233.856	-0.010896
233.872	-0.012164
233.888	-0.014383
233.904	-0.017870
233.92	-0.022308
233.936	-0.026112
233.952	-0.029916
233.968	-0.034671
233.984	-0.039743
234	-0.043230
234.016	-0.045449
234.032	-0.047351
234.048	-0.049887
234.064	-0.053374
234.08	-0.057495
234.096	-0.062250
234.112	-0.067639
234.128	-0.075247
234.144	-0.084440
234.16	-0.092048
234.176	-0.098388
234.192	-0.106313
234.208	-0.115823
234.224	-0.125333
234.24	-0.134526
234.256	-0.141500
234.272	-0.146255
234.288	-0.149742
234.304	-0.151961
234.32	-0.152595
234.336	-0.151644
234.352	-0.149425
234.368	-0.146572
234.384	-0.143402
234.4	-0.139598
234.416	-0.136745
234.432	-0.134209
234.448	-0.130405
234.464	-0.125333
234.48	-0.120261
234.496	-0.115189
234.512	-0.109800
234.528	-0.102826
234.544	-0.092999
234.56	-0.080002
234.576	-0.067322
234.592	-0.054642
234.608	-0.040377
234.624	-0.025161
234.64	-0.010579
234.656	0.003369
234.672	0.019853
234.688	0.037922
234.704	0.056625
234.72	0.075645
234.736	0.093714
234.752	0.111149
234.768	0.127633
234.784	0.143800
234.8	0.158382
234.816	0.172013
234.832	0.184376
234.848	0.196105
234.864	0.207200
234.88	0.217661
234.896	0.225903
234.912	0.231926
234.928	0.237315
234.944	0.242387
234.96	0.245874
234.976	0.248727
234.992	0.251897
235.008	0.255384
235.024	0.260139
235.04	0.265528
235.056	0.270600
235.072	0.275989
235.088	0.284231
235.104	0.294692
235.12	0.303885
235.136	0.312444
235.152	0.322905
235.168	0.334951
235.184	0.346680
235.2	0.357775
235.216	0.368236
235.232	0.378697
235.248	0.392011
235.264	0.407544
235.28	0.422760
235.296	0.438293
235.312	0.456362
235.328	0.476967
235.344	0.499474
235.36	0.522932
235.376	0.544171
235.392	0.563508
235.408	0.582528
235.424	0.600914
235.44	0.615813
235.456	0.627859
235.472	0.636735
235.488	0.642758
235.504	0.646879
235.52	0.649098
235.536	0.649098
235.552	0.647513
235.568	0.645611
235.584	0.643709
235.6	0.642758
235.616	0.642758
235.632	0.642124
235.648	0.641173
235.664	0.642124
235.68	0.644343
235.696	0.645928
235.712	0.646245
235.728	0.645928
235.744	0.645294
235.76	0.644026
235.776	0.642758
235.792	0.642124
235.808	0.642124
235.824	0.642758
235.84	0.644026
235.856	0.645294
235.872	0.647196
235.888	0.650049
235.904	0.653853
235.92	0.657657
235.936	0.661144
235.952	0.664314
235.968	0.667484
235.984	0.670337
236	0.672873
236.016	0.675409
236.032	0.678262
236.048	0.683334
236.064	0.689674
236.08	0.695380
236.096	0.700769
236.112	0.708377
236.128	0.718204
236.144	0.728982
236.16	0.739760
236.176	0.748953
236.192	0.756561
236.208	0.763852
236.224	0.770509
236.24	0.775581
236.256	0.778117
236.272	0.777166
236.288	0.773045
236.304	0.764803
236.32	0.753391
236.336	0.740077
236.352	0.725495
236.368	0.707743
236.384	0.688089
236.4	0.668435
236.416	0.649098
236.432	0.629127
236.448	0.608522
236.464	0.587600
236.48	0.566361
236.496	0.547024
236.512	0.528955
236.528	0.508033
236.544	0.484575
236.56	0.462702
236.576	0.441463
236.592	0.418956
236.608	0.395815
236.624	0.372991
236.64	0.350801
236.656	0.332098
236.672	0.315931
236.688	0.300081
236.704	0.284548
236.72	0.270600
236.736	0.258237
236.752	0.246191
236.768	0.234145
236.784	0.221148
236.8	0.207517
236.816	0.195471
236.832	0.184376
236.848	0.172647
236.864	0.159967
236.88	0.148555
236.896	0.138411
236.912	0.129218
236.928	0.120976
236.944	0.113368
236.96	0.106394
236.976	0.101005
236.992	0.096884
237.008	0.094348
237.024	0.093397
237.04	0.092763
237.056	0.092129
237.072	0.091495
237.088	0.090544
237.104	0.088959
237.12	0.086423
237.136	0.084204
237.152	0.081668
237.168	0.075645
237.184	0.066452
237.2	0.056625
237.216	0.046481
237.232	0.035703
237.248	0.024291
237.264	0.012245
237.28	0.000199
237.296	-0.010896
237.312	-0.021674
237.328	-0.033403
237.344	-0.046083
237.36	-0.057495
237.376	-0.067956
237.392	-0.079051
237.408	-0.091414
237.424	-0.104094
237.44	-0.117091
237.456	-0.128186
237.472	-0.137696
237.488	-0.146572
237.504	-0.155131
237.52	-0.161788
237.536	-0.166543
237.552	-0.170981
237.568	-0.174785
237.584	-0.177638
237.6	-0.179223
237.616	-0.179857
237.632	-0.179857
237.648	-0.179540
237.664	-0.178906
237.68	-0.178272
237.696	-0.177004
237.712	-0.175736
237.728	-0.174151
237.744	-0.170981
237.76	-0.165909
237.776	-0.160837
237.792	-0.155448
237.808	-0.147840
237.824	-0.138647
237.84	-0.128186
237.856	-0.117091
237.872	-0.104411
237.888	-0.090780
237.904	-0.077466
237.92	-0.064469
237.936	-0.053057
237.952	-0.042913
237.968	-0.034988
237.984	-0.028331
238	-0.023259
238.016	-0.019138
238.032	-0.016919
238.048	-0.015968
238.064	-0.014700
238.08	-0.013749
238.096	-0.012798
238.112	-0.011847
238.128	-0.011847
238.144	-0.012798
238.16	-0.014383
238.176	-0.016602
238.192	-0.020089
238.208	-0.024844
238.224	-0.032452
238.24	-0.041328
238.256	-0.049253
238.272	-0.056227
238.288	-0.063518
238.304	-0.071760
238.32	-0.078417
238.336	-0.083806
238.352	-0.087927
238.368	-0.091414
238.384	-0.094267
238.4	-0.096486
238.416	-0.097437
238.432	-0.097120
238.448	-0.097120
238.464	-0.097120
238.48	-0.096169
238.496	-0.094584
238.512	-0.090146
238.528	-0.083489
238.544	-0.072394
238.56	-0.057812
238.576	-0.041645
238.592	-0.023576
238.608	0.001150
238.624	0.031265
238.64	0.060746
238.656	0.090227
238.672	0.123829
238.688	0.161235
238.704	0.199275
238.72	0.236998
238.736	0.269966
238.752	0.298179
238.768	0.322905
238.784	0.344778
238.8	0.361896
238.816	0.374576
238.832	0.385037
238.848	0.393596
238.864	0.400887
238.88	0.407544
238.896	0.412299
238.912	0.415469
238.928	0.419590
238.944	0.424662
238.96	0.429734
238.976	0.434489
238.992	0.439878
239.008	0.445901
239.024	0.450339
239.04	0.453509
239.056	0.456679
239.072	0.459849
239.088	0.463019
239.104	0.466189
239.12	0.470310
239.136	0.475699
239.152	0.482673
239.168	0.491232
239.184	0.502010
239.2	0.514373
239.216	0.526102
239.232	0.537197
239.248	0.549560
239.264	0.562874
239.28	0.575237
239.296	0.587283
239.312	0.600280
